,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Hero_6
86,soldier76,tracer,lucio,zenyatta,reinhardt,zarya
87,junkrat,sombra,tracer,lucio,dva,winston
88,soldier76,tracer,ana,lucio,dva,reinhardt
89,genji,mccree,lucio,mercy,roadhog,winston
90,soldier76,tracer,ana,lucio,dva,winston
91,hanzo,reaper,ana,lucio,reinhardt,zarya
92,genji,tracer,ana,lucio,dva,reinhardt
93,genji,soldier76,mercy,zenyatta,dva,winston
94,genji,tracer,lucio,zenyatta,dva,winston
95,mccree,reaper,lucio,zenyatta,reinhardt,zarya
96,genji,tracer,ana,lucio,dva,winston
97,soldier76,tracer,ana,lucio,reinhardt,winston
98,genji,pharah,tracer,lucio,dva,winston
99,mei,mccree,ana,lucio,reinhardt,zarya
100,genji,soldier76,lucio,zenyatta,dva,winston
101,junkrat,widowmaker,mercy,zenyatta,dva,orisa
102,genji,tracer,lucio,zenyatta,dva,winston
103,soldier76,sombra,tracer,lucio,dva,winston
104,widowmaker,tracer,lucio,zenyatta,dva,winston
105,genji,mccree,lucio,zenyatta,reinhardt,zarya
106,soldier76,ana,lucio,dva,winston,zarya
107,genji,tracer,mercy,zenyatta,dva,winston
108,doomfist,tracer,lucio,zenyatta,dva,winston
109,genji,soldier76,ana,lucio,dva,winston
110,soldier76,tracer,ana,reinhardt,roadhog,zarya
111,pharah,soldier76,tracer,ana,mercy,dva
112,tracer,ana,lucio,dva,reinhardt,zarya
113,genji,soldier76,tracer,lucio,mercy,dva
114,sombra,tracer,lucio,zenyatta,dva,winston
115,pharah,ana,lucio,reinhardt,roadhog,zarya
116,mccree,ana,zenyatta,dva,reinhardt,zarya
117,genji,tracer,lucio,zenyatta,dva,winston
118,tracer,ana,lucio,reinhardt,roadhog,zarya
119,soldier76,tracer,ana,lucio,dva,winston
120,pharah,soldier76,lucio,mercy,dva,winston
121,junkrat,pharah,mercy,zenyatta,dva,winston
122,genji,mccree,tracer,lucio,winston,zarya
123,pharah,tracer,ana,lucio,dva,reinhardt
124,reaper,tracer,ana,lucio,reinhardt,zarya
125,genji,tracer,ana,lucio,dva,winston
126,genji,soldier76,tracer,lucio,zenyatta,winston
127,genji,tracer,ana,lucio,dva,winston
128,pharah,tracer,ana,ana,lucio,zarya
129,mccree,tracer,mercy,zenyatta,dva,winston
130,soldier76,tracer,lucio,zenyatta,dva,winston
131,genji,sombra,tracer,lucio,dva,winston
132,soldier76,tracer,ana,lucio,dva,reinhardt
133,torbjorn,doomfist,tracer,ana,dva,winston
134,genji,sombra,tracer,lucio,dva,winston
135,soldier76,ana,lucio,dva,reinhardt,roadhog
136,genji,soldier76,tracer,lucio,dva,winston
137,doomfist,soldier76,tracer,ana,lucio,winston
138,soldier76,tracer,lucio,zenyatta,dva,winston
139,junkrat,tracer,lucio,zenyatta,winston,zarya
140,junkrat,mei,mercy,zenyatta,winston,zarya
141,pharah,soldier76,ana,lucio,reinhardt,zarya
142,soldier76,sombra,tracer,lucio,dva,winston
143,widowmaker,tracer,mercy,zenyatta,dva,roadhog
144,tracer,ana,lucio,reinhardt,roadhog,zarya
145,soldier76,tracer,ana,zenyatta,dva,reinhardt
146,genji,soldier76,tracer,ana,lucio,winston
147,widowmaker,doomfist,tracer,lucio,reinhardt,zarya
148,mccree,tracer,lucio,mercy,dva,winston
149,mei,reaper,ana,lucio,winston,zarya
150,mei,tracer,lucio,zenyatta,reinhardt,zarya
151,genji,mccree,mercy,zenyatta,reinhardt,zarya
152,genji,tracer,mercy,zenyatta,dva,winston
153,hanzo,doomfist,lucio,zenyatta,dva,winston
154,soldier76,tracer,ana,lucio,reinhardt,zarya
155,mccree,tracer,mercy,zenyatta,dva,winston
156,genji,tracer,lucio,zenyatta,dva,winston
157,soldier76,tracer,ana,lucio,winston,zarya
158,mei,mccree,reaper,ana,lucio,reinhardt
159,sombra,tracer,ana,lucio,dva,winston
160,pharah,tracer,lucio,zenyatta,dva,winston
161,mccree,soldier76,ana,lucio,dva,reinhardt
162,genji,mccree,ana,lucio,reinhardt,zarya
163,mccree,ana,lucio,reinhardt,roadhog,winston
164,hanzo,widowmaker,ana,lucio,reinhardt,zarya
165,torbjorn,soldier76,tracer,ana,dva,winston
166,reaper,tracer,lucio,mercy,dva,winston
167,junkrat,tracer,lucio,zenyatta,orisa,roadhog
168,sombra,tracer,lucio,zenyatta,reinhardt,roadhog
169,genji,soldier76,sombra,tracer,ana,winston
170,soldier76,tracer,mercy,zenyatta,roadhog,winston
171,genji,soldier76,tracer,lucio,zenyatta,winston
172,genji,tracer,lucio,zenyatta,dva,winston
173,genji,tracer,lucio,zenyatta,winston,zarya
174,pharah,soldier76,ana,lucio,reinhardt,roadhog
175,soldier76,tracer,lucio,zenyatta,dva,winston
176,junkrat,tracer,lucio,zenyatta,reinhardt,zarya
177,genji,pharah,tracer,lucio,mercy,winston
178,genji,tracer,ana,lucio,winston,zarya
179,tracer,ana,lucio,dva,reinhardt,zarya
180,soldier76,ana,lucio,dva,reinhardt,zarya
181,tracer,ana,lucio,dva,reinhardt,winston
182,soldier76,tracer,ana,lucio,dva,winston
183,soldier76,tracer,lucio,zenyatta,dva,winston
184,pharah,ana,lucio,reinhardt,roadhog,zarya
185,tracer,lucio,zenyatta,dva,reinhardt,zarya
186,reaper,tracer,ana,lucio,reinhardt,zarya
187,soldier76,ana,symmetra,dva,reinhardt,roadhog
188,widowmaker,genji,tracer,lucio,mercy,winston
189,mei,ana,lucio,dva,reinhardt,roadhog
190,tracer,ana,lucio,reinhardt,roadhog,zarya
191,sombra,tracer,ana,lucio,dva,winston
192,torbjorn,genji,mercy,zenyatta,dva,winston
193,genji,soldier76,ana,lucio,winston,zarya
194,hanzo,genji,tracer,lucio,dva,winston
195,soldier76,sombra,tracer,lucio,dva,winston
196,soldier76,ana,lucio,dva,reinhardt,zarya
197,genji,soldier76,tracer,lucio,zenyatta,winston
198,soldier76,ana,lucio,dva,reinhardt,roadhog
199,widowmaker,lucio,moira,dva,roadhog,winston
200,genji,soldier76,tracer,lucio,zenyatta,winston
201,genji,soldier76,tracer,lucio,zenyatta,winston
202,mccree,tracer,ana,lucio,winston,zarya
203,mccree,ana,lucio,dva,reinhardt,roadhog
204,doomfist,tracer,lucio,zenyatta,dva,winston
205,soldier76,lucio,zenyatta,dva,winston,zarya
206,soldier76,tracer,ana,lucio,dva,winston
207,genji,pharah,soldier76,tracer,lucio,winston
208,reaper,ana,lucio,reinhardt,roadhog,zarya
209,genji,soldier76,tracer,ana,lucio,winston
210,genji,pharah,tracer,lucio,mercy,dva
211,mccree,reaper,ana,lucio,reinhardt,zarya
212,soldier76,tracer,lucio,zenyatta,dva,winston
213,soldier76,sombra,tracer,lucio,dva,winston
214,mei,widowmaker,lucio,dva,winston,zarya
215,mccree,tracer,ana,lucio,dva,winston
216,soldier76,tracer,lucio,zenyatta,dva,winston
217,genji,soldier76,ana,zenyatta,dva,winston
218,mccree,tracer,mercy,zenyatta,dva,winston
219,soldier76,tracer,ana,lucio,dva,winston
220,torbjorn,ana,symmetra,dva,reinhardt,zarya
221,tracer,ana,lucio,dva,reinhardt,zarya
222,tracer,ana,lucio,dva,reinhardt,winston
223,torbjorn,genji,soldier76,mercy,dva,orisa
224,pharah,tracer,lucio,mercy,dva,winston
225,reaper,tracer,ana,lucio,zenyatta,winston
226,tracer,ana,lucio,dva,reinhardt,roadhog
227,genji,soldier76,ana,lucio,reinhardt,zarya
228,genji,tracer,mercy,zenyatta,dva,winston
229,widowmaker,genji,lucio,mercy,dva,winston
230,genji,soldier76,tracer,lucio,zenyatta,winston
231,mei,genji,ana,dva,reinhardt,zarya
232,pharah,reaper,lucio,mercy,winston,zarya
233,genji,tracer,lucio,zenyatta,winston,zarya
234,torbjorn,soldier76,tracer,mercy,dva,winston
235,genji,ana,lucio,dva,roadhog,winston
236,mccree,ana,lucio,dva,reinhardt,roadhog
237,widowmaker,sombra,tracer,lucio,dva,winston
238,hanzo,reaper,lucio,zenyatta,reinhardt,zarya
239,torbjorn,soldier76,ana,dva,reinhardt,roadhog
240,genji,soldier76,ana,lucio,reinhardt,zarya
241,soldier76,lucio,zenyatta,dva,roadhog,winston
242,genji,soldier76,lucio,dva,winston,zarya
243,pharah,tracer,lucio,mercy,dva,winston
244,soldier76,tracer,lucio,mercy,dva,winston
245,soldier76,ana,dva,reinhardt,roadhog,zarya
246,soldier76,tracer,lucio,zenyatta,dva,winston
247,mccree,ana,lucio,dva,reinhardt,roadhog
248,genji,tracer,ana,lucio,dva,reinhardt
249,doomfist,genji,soldier76,lucio,dva,winston
250,pharah,tracer,mercy,zenyatta,dva,roadhog
251,doomfist,soldier76,lucio,zenyatta,dva,winston
252,soldier76,sombra,tracer,lucio,dva,winston
253,genji,tracer,ana,lucio,dva,winston
254,mccree,reaper,lucio,zenyatta,reinhardt,roadhog
255,mccree,tracer,ana,lucio,dva,reinhardt
256,tracer,ana,lucio,dva,reinhardt,roadhog
257,soldier76,tracer,ana,mercy,dva,winston
258,soldier76,ana,lucio,dva,reinhardt,zarya
259,genji,soldier76,tracer,lucio,zenyatta,winston
260,genji,tracer,ana,lucio,dva,winston
261,widowmaker,tracer,mercy,zenyatta,dva,winston
262,soldier76,tracer,mercy,zenyatta,dva,winston
263,genji,soldier76,ana,lucio,dva,winston
264,soldier76,sombra,tracer,lucio,dva,winston
265,genji,tracer,lucio,zenyatta,dva,winston
266,doomfist,mccree,ana,lucio,winston,zarya
267,soldier76,tracer,lucio,zenyatta,dva,winston
268,soldier76,ana,lucio,dva,zarya,zarya
269,pharah,tracer,lucio,mercy,dva,winston
270,mei,reaper,ana,lucio,reinhardt,zarya
271,doomfist,tracer,lucio,zenyatta,dva,winston
272,genji,tracer,ana,lucio,dva,winston
273,tracer,ana,lucio,dva,reinhardt,zarya
274,bastion,ana,lucio,reinhardt,roadhog,zarya
275,genji,soldier76,tracer,lucio,zenyatta,winston
276,junkrat,tracer,lucio,zenyatta,dva,winston
277,mccree,ana,lucio,reinhardt,roadhog,zarya
278,genji,sombra,tracer,zenyatta,dva,winston
279,torbjorn,soldier76,ana,dva,reinhardt,zarya
280,soldier76,tracer,ana,lucio,reinhardt,zarya
281,widowmaker,tracer,mercy,zenyatta,dva,winston
282,soldier76,tracer,ana,lucio,reinhardt,zarya
283,torbjorn,doomfist,tracer,ana,dva,winston
284,soldier76,tracer,lucio,zenyatta,dva,winston
285,doomfist,tracer,lucio,zenyatta,dva,winston
286,mei,tracer,ana,lucio,reinhardt,zarya
287,reaper,soldier76,ana,lucio,reinhardt,zarya
288,widowmaker,genji,mercy,zenyatta,roadhog,winston
289,soldier76,sombra,tracer,lucio,dva,zarya
290,pharah,ana,lucio,reinhardt,roadhog,zarya
291,soldier76,tracer,ana,lucio,reinhardt,zarya
292,genji,tracer,ana,lucio,reinhardt,zarya
293,soldier76,tracer,ana,lucio,dva,winston
294,genji,soldier76,tracer,ana,lucio,winston
295,pharah,soldier76,tracer,lucio,zenyatta,winston
296,genji,tracer,lucio,zenyatta,dva,winston
297,mccree,tracer,lucio,zenyatta,dva,winston
298,tracer,ana,lucio,dva,reinhardt,zarya
299,mei,soldier76,ana,lucio,reinhardt,roadhog
300,soldier76,tracer,lucio,zenyatta,dva,winston
301,genji,soldier76,tracer,lucio,zenyatta,winston
302,genji,tracer,ana,lucio,dva,winston
303,soldier76,sombra,tracer,lucio,dva,winston
304,pharah,tracer,lucio,mercy,dva,winston
305,genji,tracer,ana,lucio,reinhardt,zarya
306,genji,tracer,ana,lucio,reinhardt,zarya
307,genji,tracer,ana,lucio,reinhardt,zarya
308,hanzo,sombra,tracer,lucio,dva,winston
309,mccree,ana,lucio,reinhardt,roadhog,zarya
310,mei,ana,lucio,dva,reinhardt,zarya
311,soldier76,tracer,ana,lucio,dva,reinhardt
312,genji,soldier76,ana,lucio,dva,reinhardt
313,genji,pharah,ana,mercy,dva,winston
314,soldier76,tracer,mercy,zenyatta,dva,winston
315,genji,tracer,lucio,zenyatta,winston,zarya
316,mccree,ana,lucio,reinhardt,roadhog,zarya
317,genji,tracer,ana,lucio,dva,winston
318,pharah,ana,lucio,reinhardt,roadhog,zarya
319,torbjorn,genji,ana,orisa,winston,zarya
320,widowmaker,tracer,lucio,zenyatta,dva,winston
321,genji,tracer,lucio,zenyatta,dva,winston
322,widowmaker,tracer,ana,lucio,dva,winston
323,widowmaker,genji,tracer,lucio,zenyatta,winston
324,soldier76,ana,dva,reinhardt,roadhog,winston
325,widowmaker,genji,tracer,mercy,zenyatta,dva
326,genji,tracer,ana,lucio,dva,reinhardt
327,genji,soldier76,tracer,ana,reinhardt,zarya
328,junkrat,widowmaker,mercy,zenyatta,dva,winston
329,soldier76,ana,lucio,reinhardt,roadhog,winston
330,doomfist,soldier76,lucio,zenyatta,dva,winston
331,doomfist,soldier76,lucio,zenyatta,dva,winston
332,genji,tracer,ana,lucio,dva,winston
333,soldier76,sombra,tracer,lucio,dva,winston
334,hanzo,genji,pharah,lucio,zenyatta,winston
335,tracer,ana,lucio,reinhardt,roadhog,zarya
336,genji,mccree,lucio,mercy,dva,winston
337,hanzo,tracer,ana,lucio,reinhardt,zarya
338,genji,soldier76,tracer,lucio,reinhardt,roadhog
339,soldier76,tracer,lucio,zenyatta,dva,winston
340,genji,tracer,mercy,zenyatta,dva,winston
341,bastion,ana,lucio,dva,reinhardt,zarya
342,genji,sombra,tracer,lucio,dva,winston
343,pharah,soldier76,tracer,lucio,zenyatta,winston
344,genji,tracer,ana,lucio,dva,winston
345,genji,ana,lucio,reinhardt,winston,zarya
346,soldier76,tracer,lucio,zenyatta,dva,winston
347,genji,reaper,lucio,zenyatta,dva,winston
348,soldier76,tracer,lucio,zenyatta,dva,winston
349,pharah,soldier76,ana,mercy,reinhardt,winston
350,reaper,tracer,lucio,zenyatta,winston,zarya
351,soldier76,ana,lucio,reinhardt,roadhog,zarya
352,soldier76,ana,lucio,reinhardt,roadhog,zarya
353,soldier76,tracer,lucio,zenyatta,dva,winston
354,mccree,reaper,lucio,zenyatta,reinhardt,winston
355,soldier76,tracer,ana,zenyatta,dva,winston
356,genji,soldier76,tracer,lucio,zenyatta,winston
357,bastion,genji,tracer,lucio,winston,zarya
358,widowmaker,tracer,mercy,zenyatta,dva,winston
359,genji,pharah,ana,lucio,reinhardt,roadhog
360,torbjorn,genji,tracer,dva,reinhardt,roadhog
361,hanzo,mccree,sombra,dva,roadhog,winston
362,mei,reaper,ana,lucio,reinhardt,roadhog
363,mccree,tracer,mercy,zenyatta,dva,winston
364,soldier76,ana,zenyatta,dva,reinhardt,zarya
365,mccree,tracer,lucio,zenyatta,dva,winston
366,genji,tracer,ana,lucio,dva,winston
367,soldier76,ana,lucio,reinhardt,roadhog,zarya
368,mei,ana,lucio,dva,reinhardt,roadhog
369,soldier76,tracer,lucio,zenyatta,dva,winston
370,genji,tracer,lucio,zenyatta,dva,winston
371,mccree,mercy,zenyatta,dva,reinhardt,zarya
372,genji,tracer,ana,dva,winston,zarya
373,mccree,tracer,lucio,zenyatta,dva,winston
374,genji,tracer,mercy,zenyatta,dva,winston
375,genji,ana,zenyatta,dva,roadhog,winston
376,soldier76,sombra,tracer,lucio,dva,winston
377,mei,mccree,reaper,tracer,lucio,winston
378,doomfist,genji,tracer,lucio,dva,winston
379,soldier76,tracer,ana,lucio,dva,winston
380,genji,tracer,ana,lucio,dva,winston
381,genji,tracer,lucio,zenyatta,dva,reinhardt
382,reaper,tracer,ana,lucio,reinhardt,zarya
383,mccree,soldier76,tracer,lucio,dva,winston
384,soldier76,tracer,lucio,zenyatta,dva,winston
385,tracer,ana,lucio,dva,reinhardt,roadhog
386,widowmaker,soldier76,ana,lucio,dva,reinhardt
387,genji,soldier76,lucio,zenyatta,dva,reinhardt
388,genji,soldier76,tracer,lucio,zenyatta,winston
389,hanzo,mccree,ana,lucio,reinhardt,roadhog
390,soldier76,tracer,ana,lucio,dva,winston
391,genji,soldier76,ana,lucio,reinhardt,winston
392,soldier76,ana,lucio,dva,reinhardt,roadhog
393,soldier76,tracer,lucio,zenyatta,dva,winston
394,junkrat,widowmaker,mercy,zenyatta,orisa,roadhog
395,tracer,ana,reinhardt,roadhog,zarya,zarya
396,genji,soldier76,sombra,tracer,lucio,winston
397,genji,tracer,lucio,zenyatta,dva,winston
398,genji,pharah,tracer,ana,lucio,winston
399,mccree,tracer,mercy,zenyatta,dva,winston
400,mccree,ana,lucio,dva,roadhog,winston
401,soldier76,tracer,ana,lucio,dva,winston
402,doomfist,pharah,lucio,mercy,dva,winston
403,doomfist,genji,tracer,dva,winston,zarya
404,pharah,tracer,lucio,mercy,dva,winston
405,genji,tracer,lucio,zenyatta,dva,winston
406,mccree,reaper,ana,lucio,reinhardt,zarya
407,tracer,lucio,moira,dva,roadhog,winston
408,genji,soldier76,tracer,lucio,zenyatta,winston
409,pharah,tracer,lucio,mercy,dva,winston
410,torbjorn,soldier76,ana,dva,reinhardt,zarya
411,soldier76,tracer,lucio,zenyatta,dva,winston
412,genji,sombra,tracer,lucio,dva,winston
413,tracer,ana,lucio,dva,winston,zarya
414,genji,tracer,lucio,zenyatta,winston,zarya
415,soldier76,tracer,ana,lucio,dva,winston
416,soldier76,ana,lucio,dva,reinhardt,roadhog
417,soldier76,tracer,lucio,zenyatta,dva,winston
418,genji,soldier76,tracer,lucio,zenyatta,winston
419,soldier76,tracer,ana,lucio,dva,reinhardt
420,soldier76,tracer,ana,lucio,dva,winston
421,soldier76,sombra,tracer,lucio,dva,winston
422,mei,ana,lucio,dva,reinhardt,roadhog
423,pharah,tracer,ana,lucio,dva,winston
424,soldier76,tracer,ana,lucio,dva,winston
425,genji,soldier76,tracer,lucio,zenyatta,winston
426,reaper,tracer,lucio,zenyatta,winston,zarya
427,pharah,soldier76,tracer,lucio,dva,winston
428,reaper,ana,lucio,dva,reinhardt,roadhog
429,mccree,soldier76,tracer,lucio,reinhardt,zarya
430,reaper,tracer,lucio,zenyatta,dva,winston
431,mccree,reaper,lucio,zenyatta,dva,reinhardt
432,mccree,tracer,ana,lucio,dva,reinhardt
433,torbjorn,genji,reaper,ana,dva,orisa
434,genji,reaper,sombra,tracer,lucio,winston
435,widowmaker,tracer,mercy,zenyatta,dva,orisa
436,widowmaker,genji,tracer,ana,lucio,winston
437,genji,soldier76,tracer,lucio,zenyatta,winston
438,genji,sombra,tracer,lucio,dva,winston
439,widowmaker,tracer,lucio,zenyatta,dva,winston
440,reaper,tracer,lucio,zenyatta,winston,zarya
441,soldier76,tracer,ana,lucio,winston,zarya
442,soldier76,tracer,mercy,zenyatta,dva,roadhog
443,widowmaker,genji,tracer,ana,lucio,winston
444,mccree,ana,lucio,dva,reinhardt,zarya
445,genji,tracer,lucio,mercy,dva,winston
446,mei,reaper,ana,lucio,reinhardt,zarya
447,genji,soldier76,ana,lucio,dva,winston
448,genji,tracer,lucio,dva,winston,zarya
449,junkrat,genji,ana,mercy,reinhardt,zarya
450,doomfist,soldier76,tracer,lucio,dva,winston
451,soldier76,ana,lucio,reinhardt,roadhog,zarya
452,junkrat,mccree,lucio,symmetra,zenyatta,dva
453,mccree,tracer,lucio,zenyatta,dva,winston
454,mccree,tracer,mercy,zenyatta,dva,winston
455,reaper,tracer,lucio,zenyatta,reinhardt,zarya
456,mei,reaper,ana,lucio,reinhardt,zarya
457,soldier76,tracer,lucio,zenyatta,dva,winston
458,reaper,tracer,lucio,zenyatta,reinhardt,roadhog
459,mccree,ana,lucio,reinhardt,roadhog,zarya
460,doomfist,reaper,lucio,zenyatta,reinhardt,zarya
461,soldier76,ana,zenyatta,dva,reinhardt,zarya
462,genji,tracer,lucio,zenyatta,dva,winston
463,doomfist,soldier76,ana,lucio,dva,winston
464,genji,soldier76,tracer,lucio,dva,reinhardt
465,tracer,ana,lucio,reinhardt,winston,zarya
466,genji,tracer,ana,lucio,dva,winston
467,mccree,ana,lucio,reinhardt,winston,zarya
468,genji,soldier76,tracer,lucio,zenyatta,winston
469,mccree,tracer,lucio,zenyatta,dva,winston
470,mccree,tracer,ana,lucio,roadhog,winston
471,pharah,soldier76,ana,lucio,reinhardt,zarya
472,doomfist,reaper,tracer,lucio,dva,winston
473,widowmaker,genji,soldier76,lucio,zenyatta,winston
474,doomfist,tracer,lucio,zenyatta,dva,winston
475,soldier76,sombra,tracer,lucio,winston,zarya
476,junkrat,soldier76,lucio,mercy,dva,winston
477,genji,sombra,ana,lucio,dva,winston
478,soldier76,ana,lucio,reinhardt,winston,zarya
479,soldier76,tracer,ana,lucio,dva,winston
480,genji,soldier76,tracer,lucio,dva,winston
481,mccree,reaper,ana,lucio,reinhardt,winston
482,mccree,lucio,zenyatta,dva,reinhardt,roadhog
483,soldier76,tracer,ana,lucio,reinhardt,zarya
484,genji,tracer,lucio,zenyatta,dva,winston
485,genji,tracer,ana,lucio,dva,winston
486,mei,tracer,ana,lucio,reinhardt,zarya
487,sombra,tracer,lucio,zenyatta,dva,winston
488,genji,tracer,ana,lucio,winston,zarya
489,widowmaker,soldier76,lucio,zenyatta,reinhardt,zarya
490,pharah,tracer,ana,lucio,dva,roadhog
491,soldier76,ana,dva,roadhog,winston,zarya
492,mei,tracer,ana,lucio,reinhardt,zarya
493,soldier76,tracer,lucio,zenyatta,winston,zarya
494,genji,mccree,ana,mercy,winston,zarya
495,genji,tracer,ana,lucio,reinhardt,zarya
496,genji,tracer,lucio,zenyatta,dva,winston
497,soldier76,ana,lucio,reinhardt,roadhog,zarya
498,genji,soldier76,ana,lucio,dva,winston
499,pharah,lucio,mercy,dva,roadhog,winston
500,sombra,tracer,ana,lucio,dva,winston
501,widowmaker,genji,mercy,zenyatta,dva,winston
502,genji,tracer,ana,lucio,dva,winston
503,tracer,ana,lucio,roadhog,winston,zarya
504,genji,mccree,lucio,zenyatta,dva,zarya
505,tracer,ana,lucio,dva,winston,zarya
506,hanzo,soldier76,tracer,zenyatta,dva,winston
507,soldier76,tracer,lucio,zenyatta,dva,winston
508,mei,reaper,ana,lucio,dva,winston
509,pharah,tracer,lucio,mercy,dva,winston
510,genji,tracer,ana,lucio,dva,reinhardt
511,soldier76,sombra,tracer,lucio,zenyatta,winston
512,soldier76,sombra,tracer,lucio,dva,winston
513,junkrat,mccree,mercy,zenyatta,dva,orisa
514,genji,mccree,ana,lucio,reinhardt,zarya
515,tracer,ana,lucio,dva,reinhardt,roadhog
516,torbjorn,mccree,pharah,mercy,zenyatta,winston
517,pharah,tracer,lucio,mercy,dva,winston
518,genji,tracer,mercy,zenyatta,dva,winston
519,mccree,lucio,zenyatta,reinhardt,roadhog,zarya
520,torbjorn,soldier76,tracer,mercy,dva,winston
521,doomfist,sombra,tracer,lucio,dva,winston
522,junkrat,genji,tracer,lucio,dva,winston
523,soldier76,ana,lucio,reinhardt,roadhog,zarya
524,mccree,reaper,lucio,zenyatta,reinhardt,winston
525,mei,pharah,tracer,lucio,dva,winston
526,mei,tracer,ana,lucio,reinhardt,zarya
527,widowmaker,tracer,mercy,zenyatta,dva,winston
528,genji,sombra,tracer,lucio,dva,winston
529,widowmaker,ana,lucio,dva,roadhog,winston
530,pharah,tracer,ana,lucio,dva,winston
531,reaper,tracer,ana,lucio,winston,zarya
532,soldier76,tracer,lucio,zenyatta,dva,winston
533,soldier76,tracer,lucio,zenyatta,dva,winston
