,Map,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Hero_6
47,Hanamura_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
48,Ilios_Ruins,soldier76,sombra,tracer,lucio,dva,winston
49,Volskaya Industries_Attack,genji,tracer,ana,lucio,winston,zarya
50,Eichenwalde_Attack,mccree,reaper,ana,lucio,reinhardt,zarya
51,Hollywood_Defense,pharah,ana,lucio,dva,reinhardt,zarya
52,Lijiang Tower_Garden,tracer,ana,lucio,dva,roadhog,winston
53,Hollywood_Attack,genji,soldier76,lucio,zenyatta,dva,winston
54,Dorado_Attack,mccree,tracer,mercy,zenyatta,dva,winston
55,Lijiang Tower_Garden,pharah,soldier76,ana,lucio,dva,winston
56,Ilios_Well,pharah,tracer,lucio,dva,winston,zarya
57,Hollywood_Attack,genji,tracer,lucio,zenyatta,dva,winston
58,Eichenwalde_Attack,hanzo,reaper,ana,lucio,reinhardt,zarya
59,Lijiang Tower_Control Center,genji,tracer,ana,lucio,reinhardt,zarya
60,Hanamura_Attack,genji,tracer,ana,lucio,dva,reinhardt
61,Volskaya Industries_Defense,genji,soldier76,ana,lucio,dva,winston
62,Hanamura_Defense,mei,doomfist,tracer,lucio,dva,winston
63,Numbani_Defense,soldier76,ana,lucio,dva,reinhardt,zarya
64,Horizon Lunar Colony_Attack,doomfist,tracer,lucio,zenyatta,reinhardt,winston
65,Volskaya Industries_Attack,soldier76,tracer,ana,lucio,reinhardt,zarya
66,Lijiang Tower_Control Center,pharah,tracer,mercy,dva,winston,zarya
67,Eichenwalde_Attack,soldier76,ana,lucio,dva,reinhardt,zarya
68,Watchpoint: Gibraltar_Defense,soldier76,tracer,ana,mercy,dva,winston
69,Temple of Anubis_Attack,sombra,ana,lucio,dva,roadhog,winston
70,Dorado_Attack,widowmaker,genji,tracer,zenyatta,dva,winston
71,Lijiang Tower_Night Market,pharah,tracer,lucio,mercy,dva,winston
72,Ilios_Well,mccree,tracer,ana,lucio,dva,reinhardt
73,Hanamura_Defense,mei,mccree,lucio,zenyatta,reinhardt,zarya
74,Volskaya Industries_Attack,pharah,tracer,lucio,mercy,dva,winston
75,Junkertown_Defense,genji,tracer,lucio,zenyatta,dva,winston
76,Lijiang Tower_Night Market,mei,tracer,lucio,zenyatta,dva,reinhardt
77,Watchpoint: Gibraltar_Defense,genji,soldier76,ana,lucio,reinhardt,zarya
78,Hanamura_Defense,doomfist,soldier76,tracer,ana,zenyatta,winston
79,Watchpoint: Gibraltar_Defense,genji,soldier76,ana,zenyatta,dva,reinhardt
80,Dorado_Defense,junkrat,tracer,lucio,zenyatta,dva,winston
81,Ilios_Lighthouse,widowmaker,genji,soldier76,tracer,zenyatta,winston
82,Hollywood_Defense,soldier76,tracer,ana,lucio,reinhardt,winston
83,Hollywood_Attack,soldier76,tracer,ana,lucio,dva,winston
84,Oasis_Gardens,pharah,tracer,ana,lucio,dva,winston
85,Temple of Anubis_Defense,mei,sombra,tracer,lucio,dva,winston
86,Nepal_Village,pharah,tracer,lucio,mercy,reinhardt,zarya
87,Route 66_Attack,genji,mccree,tracer,lucio,zenyatta,reinhardt
88,Ilios_Lighthouse,reaper,tracer,ana,lucio,reinhardt,zarya
89,Hollywood_Defense,genji,tracer,ana,lucio,dva,winston
90,Dorado_Attack,genji,pharah,tracer,lucio,zenyatta,winston
91,Hanamura_Attack,genji,soldier76,lucio,zenyatta,dva,winston
92,King's Row_Defense,mei,reaper,ana,lucio,reinhardt,zarya
93,Volskaya Industries_Defense,soldier76,tracer,ana,lucio,dva,winston
94,Route 66_Attack,genji,mccree,mercy,zenyatta,dva,winston
95,Eichenwalde_Defense,mei,reaper,ana,lucio,reinhardt,zarya
96,Numbani_Attack,widowmaker,soldier76,lucio,zenyatta,dva,winston
97,Volskaya Industries_Attack,soldier76,tracer,ana,lucio,roadhog,winston
98,Volskaya Industries_Defense,genji,sombra,tracer,lucio,dva,winston
99,Hollywood_Defense,pharah,soldier76,tracer,lucio,zenyatta,winston
100,Ilios_Lighthouse,pharah,soldier76,tracer,lucio,dva,winston
101,Temple of Anubis_Defense,junkrat,genji,reaper,lucio,zenyatta,winston
102,Eichenwalde_Defense,mccree,tracer,lucio,zenyatta,reinhardt,zarya
103,Route 66_Attack,genji,tracer,ana,lucio,reinhardt,zarya
104,Temple of Anubis_Attack,genji,tracer,lucio,mercy,dva,winston
105,Lijiang Tower_Garden,soldier76,ana,lucio,dva,zarya,zarya
106,Junkertown_Defense,junkrat,ana,lucio,dva,winston,zarya
107,Hollywood_Defense,genji,soldier76,ana,lucio,dva,winston
108,Volskaya Industries_Attack,reaper,tracer,ana,lucio,dva,reinhardt
109,Temple of Anubis_Attack,doomfist,tracer,mercy,zenyatta,dva,roadhog
110,Hanamura_Defense,soldier76,ana,lucio,orisa,reinhardt,roadhog
111,Hollywood_Attack,genji,tracer,mercy,zenyatta,dva,winston
112,Temple of Anubis_Defense,genji,soldier76,ana,lucio,dva,winston
113,Volskaya Industries_Defense,genji,sombra,tracer,lucio,dva,winston
114,Hanamura_Attack,soldier76,tracer,mercy,zenyatta,dva,winston
115,Route 66_Attack,reaper,soldier76,tracer,lucio,dva,winston
116,Lijiang Tower_Control Center,reaper,tracer,ana,lucio,reinhardt,zarya
117,Route 66_Attack,hanzo,sombra,lucio,zenyatta,reinhardt,roadhog
118,Hollywood_Attack,genji,reaper,ana,lucio,reinhardt,zarya
119,King's Row_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
120,King's Row_Attack,genji,tracer,lucio,zenyatta,reinhardt,zarya
121,Nepal_Sanctum,junkrat,mccree,mercy,zenyatta,dva,roadhog
122,Lijiang Tower_Night Market,soldier76,ana,lucio,reinhardt,roadhog,zarya
123,Eichenwalde_Defense,mccree,pharah,lucio,mercy,reinhardt,zarya
124,King's Row_Attack,mei,ana,zenyatta,reinhardt,roadhog,zarya
125,Numbani_Attack,genji,soldier76,ana,lucio,dva,winston
126,King's Row_Defense,doomfist,soldier76,tracer,lucio,dva,winston
127,King's Row_Attack,pharah,ana,lucio,reinhardt,roadhog,zarya
128,King's Row_Defense,mccree,pharah,ana,lucio,reinhardt,zarya
129,Eichenwalde_Defense,genji,tracer,lucio,zenyatta,dva,winston
130,Temple of Anubis_Attack,genji,soldier76,tracer,lucio,dva,winston
131,Nepal_Shrine,mccree,reaper,tracer,ana,lucio,zarya
132,Numbani_Defense,soldier76,tracer,ana,lucio,dva,winston
133,Horizon Lunar Colony_Defense,reaper,soldier76,ana,lucio,reinhardt,zarya
134,Route 66_Defense,genji,soldier76,tracer,ana,lucio,winston
135,Lijiang Tower_Garden,soldier76,tracer,lucio,zenyatta,dva,winston
136,King's Row_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
137,Volskaya Industries_Attack,soldier76,tracer,ana,lucio,dva,winston
138,Numbani_Attack,mccree,tracer,mercy,zenyatta,dva,winston
139,Hollywood_Attack,genji,tracer,lucio,zenyatta,dva,winston
140,Oasis_City Center,doomfist,tracer,lucio,zenyatta,dva,winston
141,Watchpoint: Gibraltar_Defense,tracer,ana,lucio,dva,reinhardt,zarya
142,Dorado_Attack,mccree,reaper,ana,lucio,reinhardt,roadhog
143,Dorado_Defense,soldier76,tracer,mercy,zenyatta,dva,winston
144,Route 66_Attack,genji,tracer,ana,mercy,reinhardt,zarya
145,Dorado_Defense,mccree,reaper,lucio,zenyatta,reinhardt,winston
146,Watchpoint: Gibraltar_Attack,widowmaker,genji,mccree,lucio,zenyatta,winston
147,King's Row_Defense,mccree,tracer,ana,lucio,reinhardt,zarya
148,Dorado_Defense,genji,tracer,lucio,zenyatta,reinhardt,zarya
149,Hanamura_Attack,genji,soldier76,ana,lucio,dva,reinhardt
150,Route 66_Attack,soldier76,ana,lucio,reinhardt,roadhog,zarya
151,Volskaya Industries_Attack,pharah,tracer,lucio,mercy,dva,winston
152,Hollywood_Defense,genji,soldier76,ana,zenyatta,reinhardt,roadhog
153,Numbani_Attack,ana,lucio,dva,reinhardt,roadhog,zarya
154,Eichenwalde_Defense,mei,ana,lucio,dva,reinhardt,roadhog
155,Route 66_Defense,mccree,tracer,ana,lucio,reinhardt,roadhog
156,Temple of Anubis_Defense,mei,genji,tracer,lucio,dva,winston
157,Route 66_Attack,mei,genji,tracer,lucio,dva,winston
158,Nepal_Village,soldier76,ana,lucio,dva,reinhardt,roadhog
159,Nepal_Village,mei,mccree,tracer,lucio,zenyatta,zarya
160,Temple of Anubis_Attack,widowmaker,genji,tracer,lucio,dva,winston
161,Oasis_City Center,genji,tracer,lucio,zenyatta,dva,winston
162,Temple of Anubis_Attack,pharah,reaper,tracer,mercy,dva,winston
163,Numbani_Attack,mei,mccree,pharah,ana,mercy,reinhardt
164,Temple of Anubis_Attack,genji,soldier76,tracer,lucio,dva,winston
165,Watchpoint: Gibraltar_Defense,mccree,pharah,ana,lucio,reinhardt,roadhog
166,Dorado_Attack,genji,reaper,lucio,zenyatta,winston,zarya
167,Volskaya Industries_Attack,soldier76,sombra,tracer,lucio,zenyatta,winston
168,Route 66_Attack,tracer,ana,lucio,dva,reinhardt,roadhog
169,Horizon Lunar Colony_Attack,genji,soldier76,lucio,zenyatta,reinhardt,zarya
170,Horizon Lunar Colony_Defense,reaper,soldier76,ana,lucio,dva,winston
171,King's Row_Defense,genji,tracer,mercy,zenyatta,dva,winston
172,Oasis_City Center,genji,soldier76,tracer,lucio,dva,winston
173,Temple of Anubis_Defense,genji,sombra,tracer,lucio,zenyatta,reinhardt
174,Eichenwalde_Defense,junkrat,mccree,lucio,zenyatta,reinhardt,zarya
175,Temple of Anubis_Attack,reaper,sombra,tracer,lucio,reinhardt,winston
176,Temple of Anubis_Attack,genji,pharah,soldier76,tracer,lucio,winston
177,Horizon Lunar Colony_Defense,torbjorn,genji,reaper,ana,dva,orisa
178,Horizon Lunar Colony_Defense,soldier76,tracer,ana,zenyatta,dva,winston
179,Hanamura_Attack,genji,tracer,lucio,zenyatta,winston,zarya
180,Dorado_Defense,soldier76,tracer,ana,lucio,dva,winston
181,Hollywood_Defense,mccree,tracer,mercy,zenyatta,dva,winston
182,Lijiang Tower_Garden,genji,soldier76,tracer,lucio,dva,winston
183,Temple of Anubis_Attack,doomfist,pharah,tracer,mercy,dva,winston
184,Horizon Lunar Colony_Attack,widowmaker,pharah,lucio,zenyatta,reinhardt,zarya
185,Nepal_Sanctum,mccree,tracer,ana,lucio,reinhardt,zarya
186,Volskaya Industries_Attack,hanzo,genji,ana,lucio,dva,winston
187,Nepal_Village,soldier76,tracer,lucio,zenyatta,dva,winston
188,Numbani_Attack,soldier76,tracer,mercy,zenyatta,dva,winston
189,Dorado_Defense,sombra,tracer,lucio,zenyatta,dva,winston
190,Lijiang Tower_Night Market,genji,tracer,lucio,zenyatta,dva,winston
191,Temple of Anubis_Attack,mei,tracer,lucio,zenyatta,reinhardt,zarya
192,Eichenwalde_Defense,soldier76,tracer,ana,lucio,dva,zarya
193,Lijiang Tower_Control Center,mei,reaper,ana,lucio,reinhardt,zarya
194,Temple of Anubis_Attack,widowmaker,tracer,lucio,zenyatta,dva,winston
195,Dorado_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
196,Volskaya Industries_Defense,soldier76,sombra,tracer,lucio,dva,winston
197,Temple of Anubis_Attack,genji,tracer,lucio,mercy,dva,winston
198,Route 66_Defense,soldier76,ana,dva,reinhardt,roadhog,zarya
199,Numbani_Defense,mei,soldier76,ana,dva,roadhog,winston
200,Hollywood_Defense,soldier76,sombra,tracer,lucio,dva,winston
201,Oasis_Gardens,widowmaker,pharah,tracer,lucio,mercy,winston
202,Volskaya Industries_Attack,genji,tracer,ana,lucio,dva,winston
203,Eichenwalde_Defense,junkrat,soldier76,lucio,zenyatta,dva,winston
204,Hanamura_Defense,genji,sombra,tracer,dva,reinhardt,roadhog
205,Hollywood_Attack,hanzo,ana,lucio,reinhardt,roadhog,zarya
206,Eichenwalde_Attack,mccree,tracer,lucio,zenyatta,dva,winston
207,Numbani_Defense,genji,soldier76,tracer,ana,dva,winston
208,Eichenwalde_Defense,torbjorn,sombra,ana,dva,orisa,reinhardt
209,Hanamura_Attack,genji,tracer,lucio,mercy,dva,winston
210,Dorado_Attack,soldier76,tracer,ana,lucio,dva,zarya
211,Temple of Anubis_Attack,genji,mccree,tracer,lucio,zenyatta,winston
212,Lijiang Tower_Garden,pharah,tracer,lucio,mercy,dva,winston
213,Hollywood_Defense,mei,ana,lucio,reinhardt,roadhog,winston
214,Horizon Lunar Colony_Defense,genji,sombra,tracer,zenyatta,dva,winston
215,Watchpoint: Gibraltar_Attack,soldier76,ana,lucio,dva,reinhardt,winston
216,King's Row_Attack,mei,ana,lucio,reinhardt,roadhog,zarya
217,Nepal_Shrine,genji,tracer,lucio,zenyatta,dva,winston
218,Route 66_Defense,soldier76,tracer,ana,lucio,dva,winston
219,Lijiang Tower_Control Center,junkrat,soldier76,ana,lucio,reinhardt,zarya
220,Dorado_Defense,doomfist,mccree,lucio,zenyatta,dva,winston
221,Temple of Anubis_Attack,reaper,tracer,ana,lucio,winston,zarya
222,Route 66_Defense,soldier76,ana,lucio,dva,reinhardt,zarya
223,Hollywood_Attack,genji,tracer,lucio,zenyatta,dva,winston
224,Volskaya Industries_Attack,genji,lucio,zenyatta,dva,reinhardt,roadhog
225,Nepal_Shrine,reaper,tracer,ana,lucio,reinhardt,zarya
226,Temple of Anubis_Attack,doomfist,reaper,ana,lucio,dva,winston
227,Dorado_Defense,mei,reaper,ana,lucio,reinhardt,winston
228,Eichenwalde_Attack,hanzo,ana,zenyatta,reinhardt,roadhog,zarya
229,Dorado_Attack,mccree,tracer,ana,mercy,reinhardt,zarya
230,Hollywood_Defense,genji,soldier76,ana,lucio,dva,winston
231,Hollywood_Defense,soldier76,ana,lucio,dva,reinhardt,roadhog
232,Hanamura_Attack,widowmaker,tracer,lucio,zenyatta,dva,winston
233,Dorado_Defense,mccree,pharah,ana,lucio,winston,zarya
234,Dorado_Attack,mccree,ana,lucio,reinhardt,roadhog,zarya
235,Hanamura_Attack,genji,soldier76,tracer,lucio,dva,winston
236,Oasis_Gardens,pharah,tracer,lucio,mercy,dva,winston
237,Hanamura_Attack,genji,soldier76,tracer,ana,lucio,winston
238,Hanamura_Defense,doomfist,soldier76,tracer,lucio,dva,winston
239,Hanamura_Defense,torbjorn,soldier76,tracer,ana,dva,winston
240,Numbani_Defense,soldier76,tracer,ana,lucio,reinhardt,zarya
241,Numbani_Defense,soldier76,tracer,ana,lucio,dva,winston
242,Nepal_Sanctum,soldier76,tracer,lucio,zenyatta,dva,winston
243,Watchpoint: Gibraltar_Defense,mei,tracer,ana,lucio,reinhardt,zarya
244,King's Row_Defense,soldier76,ana,lucio,reinhardt,roadhog,zarya
245,Lijiang Tower_Garden,soldier76,ana,lucio,reinhardt,roadhog,zarya
246,King's Row_Attack,tracer,ana,lucio,dva,reinhardt,zarya
247,Nepal_Village,mei,genji,ana,lucio,winston,zarya
248,Route 66_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
249,Oasis_University,junkrat,mercy,zenyatta,roadhog,winston,zarya
250,Lijiang Tower_Control Center,mccree,ana,lucio,dva,reinhardt,zarya
251,King's Row_Attack,genji,tracer,ana,lucio,dva,winston
252,Oasis_University,genji,tracer,ana,lucio,dva,winston
253,Route 66_Defense,tracer,ana,lucio,dva,reinhardt,roadhog
254,Hanamura_Defense,genji,ana,lucio,dva,reinhardt,winston
255,Route 66_Attack,genji,soldier76,tracer,lucio,dva,winston
256,Eichenwalde_Defense,junkrat,tracer,mercy,zenyatta,dva,winston
257,Ilios_Ruins,pharah,ana,lucio,reinhardt,roadhog,zarya
258,Oasis_Gardens,genji,tracer,lucio,zenyatta,dva,winston
259,Temple of Anubis_Attack,genji,tracer,mercy,zenyatta,dva,winston
260,Lijiang Tower_Garden,soldier76,tracer,lucio,zenyatta,dva,winston
261,Numbani_Attack,soldier76,ana,lucio,orisa,winston,zarya
262,Dorado_Attack,soldier76,tracer,mercy,moira,dva,winston
263,Watchpoint: Gibraltar_Attack,genji,mccree,reaper,lucio,zenyatta,reinhardt
264,King's Row_Attack,mccree,reaper,ana,lucio,winston,zarya
265,Hanamura_Attack,genji,tracer,ana,lucio,dva,winston
266,King's Row_Attack,genji,tracer,lucio,zenyatta,dva,winston
267,Hanamura_Defense,genji,soldier76,sombra,lucio,dva,winston
268,Hollywood_Attack,genji,reaper,tracer,lucio,zenyatta,reinhardt
269,Temple of Anubis_Attack,widowmaker,pharah,tracer,lucio,winston,zarya
270,Junkertown_Defense,junkrat,widowmaker,ana,mercy,dva,orisa
271,King's Row_Defense,genji,tracer,mercy,zenyatta,dva,winston
272,Hanamura_Attack,genji,soldier76,lucio,zenyatta,dva,winston
273,Horizon Lunar Colony_Defense,soldier76,sombra,tracer,lucio,dva,winston
274,Hanamura_Attack,genji,tracer,lucio,zenyatta,roadhog,winston
275,Oasis_Gardens,mccree,tracer,mercy,zenyatta,dva,winston
276,Lijiang Tower_Night Market,genji,soldier76,tracer,lucio,zenyatta,winston
277,Ilios_Well,genji,soldier76,tracer,lucio,dva,winston
278,Lijiang Tower_Garden,reaper,tracer,lucio,zenyatta,winston,zarya
279,Oasis_Gardens,genji,pharah,ana,lucio,dva,winston
280,Hanamura_Attack,genji,soldier76,tracer,lucio,dva,winston
281,Hollywood_Defense,mei,ana,lucio,reinhardt,roadhog,zarya
282,Hanamura_Attack,pharah,tracer,ana,lucio,dva,winston
283,Hanamura_Defense,genji,ana,lucio,dva,reinhardt,roadhog
284,Numbani_Defense,soldier76,tracer,ana,lucio,dva,winston
285,King's Row_Attack,hanzo,genji,ana,lucio,reinhardt,zarya
286,Lijiang Tower_Garden,pharah,soldier76,tracer,mercy,zenyatta,winston
287,Route 66_Defense,hanzo,reaper,ana,lucio,dva,reinhardt
288,Temple of Anubis_Defense,reaper,tracer,mercy,zenyatta,dva,winston
289,Route 66_Defense,sombra,tracer,mercy,zenyatta,dva,winston
290,Lijiang Tower_Control Center,junkrat,mccree,mercy,zenyatta,dva,zarya
291,Watchpoint: Gibraltar_Attack,tracer,ana,lucio,dva,reinhardt,zarya
292,Route 66_Defense,mei,ana,lucio,dva,reinhardt,zarya
293,Horizon Lunar Colony_Defense,junkrat,tracer,ana,lucio,dva,winston
294,Temple of Anubis_Attack,reaper,soldier76,tracer,mercy,zenyatta,winston
295,Nepal_Sanctum,mccree,reaper,lucio,mercy,reinhardt,zarya
296,Dorado_Attack,genji,soldier76,tracer,lucio,zenyatta,winston
297,Watchpoint: Gibraltar_Defense,soldier76,ana,mercy,dva,reinhardt,roadhog
298,Nepal_Village,genji,tracer,lucio,zenyatta,dva,reinhardt
299,Numbani_Attack,pharah,lucio,zenyatta,dva,roadhog,winston
300,Oasis_University,tracer,lucio,zenyatta,dva,reinhardt,roadhog
301,Hollywood_Defense,sombra,tracer,ana,lucio,dva,winston
302,Numbani_Defense,bastion,ana,lucio,dva,reinhardt,zarya
303,Ilios_Well,pharah,soldier76,tracer,lucio,winston,zarya
304,Temple of Anubis_Attack,mccree,reaper,ana,lucio,dva,zarya
305,Hanamura_Defense,genji,tracer,lucio,dva,reinhardt,winston
306,Temple of Anubis_Attack,mccree,pharah,ana,lucio,dva,zarya
307,Hanamura_Defense,genji,soldier76,tracer,ana,zenyatta,winston
308,Volskaya Industries_Attack,soldier76,ana,lucio,dva,roadhog,zarya
309,Hanamura_Attack,sombra,tracer,lucio,zenyatta,dva,winston
310,King's Row_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
311,Oasis_Gardens,genji,tracer,lucio,zenyatta,dva,winston
312,Horizon Lunar Colony_Attack,junkrat,tracer,lucio,zenyatta,dva,winston
313,Hollywood_Attack,genji,ana,lucio,dva,winston,zarya
314,Temple of Anubis_Defense,tracer,ana,lucio,dva,roadhog,winston
315,King's Row_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
316,Hollywood_Attack,ana,lucio,dva,reinhardt,roadhog,zarya
317,Lijiang Tower_Garden,soldier76,tracer,ana,lucio,dva,winston
318,Watchpoint: Gibraltar_Attack,mei,tracer,ana,lucio,reinhardt,zarya
319,King's Row_Defense,mccree,ana,lucio,reinhardt,roadhog,zarya
320,Junkertown_Attack,bastion,hanzo,genji,mercy,dva,orisa
321,Volskaya Industries_Defense,soldier76,ana,dva,reinhardt,roadhog,winston
322,Eichenwalde_Defense,mei,soldier76,tracer,lucio,dva,reinhardt
323,Route 66_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
324,Numbani_Attack,doomfist,mccree,lucio,zenyatta,dva,winston
325,King's Row_Attack,mccree,ana,lucio,dva,reinhardt,roadhog
326,Hollywood_Defense,genji,soldier76,ana,lucio,reinhardt,zarya
327,Temple of Anubis_Defense,genji,sombra,tracer,mercy,dva,winston
328,Volskaya Industries_Defense,ana,lucio,reinhardt,roadhog,winston,zarya
329,Hollywood_Defense,genji,ana,zenyatta,dva,reinhardt,roadhog
330,Temple of Anubis_Attack,mei,reaper,ana,lucio,reinhardt,roadhog
331,Route 66_Defense,doomfist,mccree,mercy,zenyatta,dva,reinhardt
332,King's Row_Defense,tracer,ana,lucio,dva,roadhog,zarya
333,Hanamura_Attack,genji,tracer,ana,lucio,dva,winston
334,Volskaya Industries_Defense,soldier76,ana,lucio,dva,reinhardt,roadhog
335,Volskaya Industries_Attack,soldier76,tracer,ana,lucio,dva,roadhog
336,Eichenwalde_Attack,genji,tracer,ana,lucio,dva,winston
337,Route 66_Defense,soldier76,sombra,tracer,lucio,dva,winston
338,King's Row_Defense,genji,reaper,lucio,zenyatta,dva,winston
339,Temple of Anubis_Defense,soldier76,tracer,ana,roadhog,winston,zarya
340,Dorado_Attack,genji,tracer,ana,lucio,dva,winston
341,King's Row_Attack,sombra,ana,lucio,dva,reinhardt,roadhog
342,Eichenwalde_Attack,genji,tracer,ana,lucio,dva,winston
343,Numbani_Defense,genji,sombra,tracer,lucio,dva,winston
344,Junkertown_Attack,sombra,tracer,lucio,moira,dva,winston
345,Temple of Anubis_Defense,genji,sombra,ana,lucio,dva,winston
346,King's Row_Defense,pharah,tracer,ana,lucio,dva,winston
347,Temple of Anubis_Defense,mei,tracer,lucio,zenyatta,dva,winston
348,King's Row_Defense,mccree,ana,lucio,dva,reinhardt,zarya
349,Hollywood_Attack,genji,reaper,ana,lucio,dva,winston
350,Dorado_Defense,mei,tracer,ana,lucio,dva,reinhardt
351,Volskaya Industries_Defense,sombra,tracer,lucio,zenyatta,dva,winston
352,King's Row_Defense,mei,mccree,lucio,zenyatta,reinhardt,zarya
353,Dorado_Defense,mccree,ana,lucio,dva,reinhardt,zarya
354,Hollywood_Attack,mccree,tracer,ana,lucio,reinhardt,zarya
355,Lijiang Tower_Garden,pharah,tracer,lucio,zenyatta,dva,winston
356,Eichenwalde_Defense,genji,soldier76,tracer,lucio,reinhardt,zarya
357,Hanamura_Attack,genji,soldier76,tracer,lucio,zenyatta,winston
358,Hanamura_Attack,widowmaker,genji,tracer,ana,lucio,reinhardt
359,Horizon Lunar Colony_Defense,torbjorn,genji,tracer,zenyatta,dva,winston
360,Hollywood_Attack,soldier76,tracer,ana,lucio,reinhardt,zarya
361,Nepal_Village,pharah,tracer,lucio,mercy,winston,zarya
362,Ilios_Ruins,widowmaker,genji,tracer,zenyatta,winston,zarya
363,Eichenwalde_Defense,mei,mccree,ana,lucio,reinhardt,zarya
364,Dorado_Defense,pharah,tracer,lucio,zenyatta,dva,winston
365,Eichenwalde_Defense,junkrat,mccree,mercy,zenyatta,dva,orisa
366,Watchpoint: Gibraltar_Attack,widowmaker,mercy,zenyatta,dva,roadhog,winston
367,King's Row_Defense,pharah,soldier76,ana,lucio,dva,reinhardt
368,Lijiang Tower_Control Center,ana,lucio,dva,reinhardt,roadhog,zarya
369,Lijiang Tower_Control Center,mccree,soldier76,lucio,zenyatta,dva,winston
370,King's Row_Defense,ana,lucio,dva,reinhardt,roadhog,zarya
371,Hollywood_Attack,genji,soldier76,ana,lucio,dva,winston
372,Lijiang Tower_Night Market,mccree,tracer,lucio,zenyatta,dva,winston
373,Numbani_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
374,Numbani_Defense,mei,genji,ana,lucio,dva,winston
375,Temple of Anubis_Defense,mei,tracer,lucio,dva,reinhardt,zarya
